url,Author,Title,Date,date_clean
https://www.texastribune.org/2018/10/03/Payton-summons-fort-worth-life-sustaining-treatment/,EMMA PLATOFF,The hospital says she’s brain-dead. Her parents say she’s alive. Who decides when to take her off the ventilator?,"OCT. 3, 2018",2018-10-03
https://www.texastribune.org/2018/10/05/federal-judge-texas-strikes-down-indian-child-welfare-act/,EMMA PLATOFF,Federal judge in Texas strikes down Indian Child Welfare Act,"OCT. 5, 2018",2018-10-05
https://www.texastribune.org/2018/10/06/texas-senators-cruz-cornyn-vote-confirm-kavanaugh-us-supreme-court/,ABBY LIVINGSTON,"U.S. Senate confirms Kavanaugh to high court, with support of Cruz, Cornyn","OCT. 6, 2018",2018-10-06
https://www.texastribune.org/2018/10/02/texas-education-agency-traffic-stop-police-interaction-law/,JOLIE MCCULLOUGH,"""Don't panic"": Texas Education Agency sends instructions on police interaction curriculum","OCT. 2, 2018",2018-10-02
https://www.texastribune.org/2018/10/10/analysis-texas-school-finance-budget-lbb/,ROSS RAMSEY,Analysis: Texas’ school finance problem in one pesky chart,"OCT. 10, 2018",2018-10-10
https://www.texastribune.org/2018/10/12/texas-cancels-health-contracts-anti-abortion-heidi-group/,MARISSA EVANS,State cancels health contracts with anti-abortion Heidi Group,"OCT. 12, 2018",2018-10-12
https://www.texastribune.org/2018/10/22/texas-2018-midterms-contest-who-will-get-most-votes/,BOBBY BLANCHARD,Political Pick'em: Can you guess who will win in the Texas midterms?,"OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/22/prairie-view-m-students-sue-waller-county-over-early-voting-sites/,ALEXA URA,Prairie View A&M students sue Waller County over early voting sites,"OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/22/texas-early-voting-turnout/,ALLYSON WALLER,Texas sees huge turnout on first day of early voting,"OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/22/Donald-trump-rally-ted-cruz-houston-eleciton-2018/,PATRICK SVITEK,"At Houston re-election rally, Donald Trump mocks Beto O'Rourke and praises Ted Cruz as a key ally","OCT. 22, 2018",2018-10-22
https://www.texastribune.org/2018/10/18/democrats-texas-house-speakers-race/,CASSANDRA POLLOCK,Texas House Democrats expect midterms will boost their bargaining power in speaker's race,"OCT. 18, 2018",2018-10-18
https://www.texastribune.org/2018/10/23/texas-congressional-district-21-chip-roy-video/,OMAR RODRIGUEZ-ORTIZ,"Chip Roy on Trump, Republicans, health care and the national debt","OCT. 23, 2018",2018-10-23
https://www.texastribune.org/2018/10/18/Justin-Nelson-livestream/,OMAR RODRIGUEZ-ORTIZ,Justin Nelson discusses Attorney General Ken Paxton and the media,"OCT. 18, 2018",2018-10-18
