url,Author,Title,Date,date_clean
https://www.texastribune.org/2018/09/21/texas-attorney-general-church-austin-school/,EMMA PLATOFF,Texas Attorney General warns Austin ISD: Don’t stop churches from renting school facilities,"SEPT. 21, 2018",2018-09-21
https://www.texastribune.org/2018/09/22/trump-immigration-public-assistance-visas/,THE WASHINGTON POST,Trump administration seeks to limit access to U.S. for immigrants who use or are likely to use public assistance,"SEPT. 22, 2018",2018-09-22
https://www.texastribune.org/2018/09/17/beto-orourke-joins-chorus-calling-firing-officer-who-shot-botham-jean/,JOLIE MCCULLOUGH,"After the death of Botham Jean, should a Dallas officer be fired? Those decisions often take time.","SEPT. 17, 2018",2018-09-17
https://www.texastribune.org/2018/09/18/texas-prison-guard-charged-inmate-death/,JOLIE MCCULLOUGH,A Texas prison guard has been charged in an assault connected to an inmate's death,"SEPT. 18, 2018",2018-09-18
https://www.texastribune.org/2018/09/21/border-wall-texas-mexico-trump-el-paso/,JULIÁN AGUILAR,"Federal officials unveil plans for four-mile, 18-foot-tall wall on Texas-Mexico border","SEPT. 21, 2018",2018-09-21
https://www.texastribune.org/2018/09/28/texas-tribune-festival-bill-de-blasio-new-york-city-mayor/,TEO ARMUS,"Mayor Bill de Blasio says his ""progressive vision"" for New York City can be copied across the country","SEPT. 28, 2018",2018-09-28
https://www.texastribune.org/2018/09/25/anti-nuclear-waste-tour-kicks-houston/,MATT ZDUN,Anti-nuclear waste tour kicks off in Houston,"SEPT. 25, 2018",2018-09-25
https://www.texastribune.org/2018/09/29/klobuchar-kavanaugh-supreme-court-2020-jeff-flake/,EMMA PLATOFF,"Sen. Amy Klobuchar says Brett Kavanaugh is ""not the person for the Supreme Court""","SEPT. 29, 2018",2018-09-29
https://www.texastribune.org/2018/09/21/teacher-retirement-system-leaves-retired-teacher-health-premiums-uncha/,MATT ZDUN,Texas’ Teacher Retirement System will not raise health premiums for retired teachers,"SEPT. 21, 2018",2018-09-21
https://www.texastribune.org/2018/09/29/sanchez-part-owner-property-leased-southwest-key-programs-eller-said-a/,SHANNON NAJMABADI,Southwest Key CEO has financial stake in property leased by migrant shelter operator,"SEPT. 29, 2018",2018-09-29
https://www.texastribune.org/2018/09/25/university-texas-sexual-misconduct-allegation-charles-schwertner/,SHANNON NAJMABADI,Report: UT investigating sexual misconduct allegation levied against state Sen. Charles Schwertner,"SEPT. 25, 2018",2018-09-25
https://www.texastribune.org/2018/10/01/border-asylum-port-of-entry-texas-mexico/,HANNAH WILEY,Critics say new barriers on border bridge are meant to deter asylum-seekers,"OCT. 1, 2018",2018-10-01
https://www.texastribune.org/2018/09/24/amber-guyger-fired-dallas-police-after-shooting-botham-jean/,JOLIE MCCULLOUGH,Amber Guyger fired from Dallas Police Department after shooting of Botham Jean,"SEPT. 24, 2018",2018-09-24
https://www.texastribune.org/2018/10/01/southwest-key-hires-child-welfare-organization-review-processes/,SHANNON NAJMABADI,Southwest Key hires child welfare organization to review processes,"OCT. 1, 2018",2018-10-01
https://www.texastribune.org/2018/09/17/border-patrol-agent-had-arsenal-attempted-suicide-cop-officials-say/,JULIÁN AGUILAR,"Border Patrol agent had arsenal in home, attempted ""suicide by cop,"" officials say","SEPT. 17, 2018",2018-09-17
https://www.texastribune.org/2018/10/01/texas-special-education-fifth-circuit/,ALIYYA SWABY,Texas spent less on students with disabilities. But did it break the law?,"OCT. 1, 2018",2018-10-01
https://www.texastribune.org/2018/09/25/ken-paxton-texas-law-student-stand-pledge-allegiance-/,EMMA PLATOFF,Attorney General Ken Paxton defends Texas law requiring students to stand for Pledge of Allegiance,"SEPT. 25, 2018",2018-09-25
https://www.texastribune.org/2018/09/20/dallas-bail-sytem-judge-order/,JOLIE MCCULLOUGH,Federal judge rules against Dallas County bail practices,"SEPT. 20, 2018",2018-09-20
https://www.texastribune.org/2018/09/27/John-Cornyn-Ted-Cruz-Brett-Kavanaugh/,ANDREW EVERSDEN,"U.S. Sen. John Cornyn calls Kavanaugh hearing ""embarrassing,"" draws McCarthy comparisons","SEPT. 27, 2018",2018-09-27
https://www.texastribune.org/2018/09/19/Texas-solicitor-general-kyle-hawkins-scott-keller-ken-paxton/,EMMA PLATOFF,"As solicitor general, Kyle Hawkins will lead Texas fights against the federal government","SEPT. 19, 2018",2018-09-19
https://www.texastribune.org/2018/10/03/analysis-crossing-border-texas-election-cruz-orourke/,ROSS RAMSEY,"Analysis: Crossing the (other) Texas borders, as elections near","OCT. 3, 2018",2018-10-03
https://www.texastribune.org/2018/10/16/Prairie-View-voter-registration/,MATT ZDUN,"Prairie View A&M University's voter registration issues are resolved, but voting barriers remain","OCT. 16, 2018",2018-10-16
https://www.texastribune.org/2018/10/15/donald-trump-campaign-ted-cruz-houston-texas-oct-22/,PATRICK SVITEK,Donald Trump to campaign for Ted Cruz in Houston on Oct. 22,"OCT. 15, 2018",2018-10-15
https://www.texastribune.org/2018/10/12/beto-orourke-raised-more-38-million-race-against-ted-cruz/,PATRICK SVITEK,Beto O’Rourke raised more than $38 million in the third quarter — a record that's about three times Ted Cruz’s haul,"OCT. 12, 2018",2018-10-12
https://www.texastribune.org/2018/10/02/mike-pence-campaign-ted-cruz-pete-sessions-dallas/,PATRICK SVITEK,"Mike Pence to campaign for Ted Cruz, Pete Sessions in Dallas","OCT. 2, 2018",2018-10-02
https://www.texastribune.org/2018/10/04/ted-cruz-says-he-raised-12m-third-quarter/,PATRICK SVITEK,Ted Cruz says he raised $12M in third quarter,"OCT. 4, 2018",2018-10-04
https://www.texastribune.org/2018/10/04/colin-allred-congress-conversation/,OMAR RODRIGUEZ-ORTIZ,Colin Allred talks football and his congressional campaign,"OCT. 4, 2018",2018-10-04
https://www.texastribune.org/2018/10/03/donald-trump-jr-rallies-texas-ted-cruz/,PATRICK SVITEK,"Rallying in Texas for Ted Cruz, Donald Trump Jr. touts him as dad's enemy-turned-ally","OCT. 3, 2018",2018-10-03
https://www.texastribune.org/2018/10/11/texas-house-district-114-moderate-conservative/,ALLYSON WALLER,Can a moderate Democrat win in a Texas district held by Republicans for decades?,"OCT. 11, 2018",2018-10-11
https://www.texastribune.org/2018/10/04/sid-miller-agriculture-commissioner-2018-midterms/,ALEX SAMUELS,Some Texas interest groups are endorsing in every statewide race — but not in Sid Miller's,"OCT. 4, 2018",2018-10-04
