,url,outlet,Author,Date,Title,page_num
316,https://www.texastribune.org/2022/09/14/greg-abbott-beto-orourke-texas-gubernatorial-poll/,Texas Tribune,PATRICK SVITEK,"SEPT. 14, 2022",Gov. Greg Abbott leads Beto O’Rourke by 5 percentage points in new poll,316
317,https://www.texastribune.org/2022/09/08/texas-lieutenant-governor-2022-mike-collier-dan-patrick/,Texas Tribune,PATRICK SVITEK,"SEPT. 8, 2022",Democrat Mike Collier embraces his GOP past as he tries to unseat Lt. Gov. Dan Patrick,317
318,https://www.texastribune.org/2022/09/15/texas-statewide-elected-officials-definition/,Texas Tribune,MARÍA MÉNDEZ,"SEPT. 15, 2022","Comptroller, railroad commissioner, lieutenant governor: What do Texas state officials actually do?",318
319,https://www.texastribune.org/2022/09/12/texas-border-security-democrats/,Texas Tribune,JAMES BARRAGÁN,"SEPT. 12, 2022","Along the Texas-Mexico border, GOP enthusiasm mounts as Democrats defect over immigration concerns",319
320,https://www.texastribune.org/2022/09/16/tribcast-texas-hispanic-vote/,Texas Tribune,MATTHEW WATKINS,"SEPT. 16, 2022",TribCast: The impact of Texas’ changing demographics on elections,320
321,https://www.texastribune.org/2022/09/09/tribcast-disasters-community-colleges/,Texas Tribune,MATTHEW WATKINS,"SEPT. 9, 2022",TribCast: The enduring mental health toll of Texas natural disasters,321
322,https://www.texastribune.org/2022/09/16/texas-uvalde-shooting-political-activism/,Texas Tribune,URIEL J. GARCÍA,"SEPT. 16, 2022",“It needs to stop”: Mass shooting sparks a wave of political activism in Uvalde,322
323,https://www.texastribune.org/2022/09/14/maternal-mortality-data-texas/,Texas Tribune,JESUS VIDALES,"SEPT. 16, 2022",Delayed: Mandatory maternal mortality rate data won’t be ready for Texas lawmakers in time for 2023 session,323
324,https://www.texastribune.org/2022/09/09/synagogues-security-texas/,Texas Tribune,OLIVIA YARVIS,"SEPT. 9, 2022",Watch: North Texas synagogues continue to fortify after Colleyville hostage incident in January,324
325,https://www.texastribune.org/2022/09/16/mayra-flores-aron-pena/,Texas Tribune,PATRICK SVITEK,"SEPT. 16, 2022",District director for U.S. Rep. Mayra Flores resigns amid sexual harassment allegations,325
326,https://www.texastribune.org/organizations/us-census-bureau/,Texas Tribune,BRIAN LOPEZ,BY BRIAN LOPEZ,U.S. Census Bureau,326
327,https://www.texastribune.org/2022/09/15/texas-disability-issues-forum-live-2022/,Texas Tribune,TEXAS TRIBUNE STAFF,"SEPT. 19, 2022",Watch: Candidates for statewide offices discuss disability issues,327
328,https://www.texastribune.org/2022/09/15/texas-demographics-census-2021/,Texas Tribune,ALEXA URA,"SEPT. 15, 2022","Hispanic Texans may now be the state’s largest demographic group, new census data shows",328
329,https://www.texastribune.org/topics/87th-legislative-session/,Texas Tribune,POOJA SALHOTRA,BY POOJA SALHOTRA,87th Legislative Session,329
330,https://www.texastribune.org/2022/09/14/texas-railroad-strike-supply-chain/,Texas Tribune,MITCHELL FERMAN,"SEPT. 14, 2022",Key Texas industries could face bottlenecks over railroad labor dispute,330
331,https://www.texastribune.org/2022/09/13/texas-personhood-laws-abortion-law/,Texas Tribune,POOJA SALHOTRA,"SEPT. 13, 2022",Does a fetus count in the carpool lane? Texas’ abortion law creates new questions about legal personhood,331
332,https://www.texastribune.org/2022/09/13/ken-starr-dead-baylor-clinton/,Texas Tribune,STEPHEN NEUKAM,"SEPT. 13, 2022","Ken Starr, former Baylor president and Clinton investigator, dies at 76",332
333,https://www.texastribune.org/2022/09/08/uvalde-shooting-gang-abbott-dps/,Texas Tribune,WILLIAM MELHADO,"SEPT. 8, 2022",Gov. Greg Abbott deploys state troopers to “anti-gang effort” in Uvalde after two juveniles are injured in shooting,333
334,https://www.texastribune.org/2022/09/08/mental-health-climate-anxiety/,Texas Tribune,MARÍA MÉNDEZ,"SEPT. 8, 2022",How to care for your mental health in the age of climate change and worsening natural disasters,334
335,https://www.texastribune.org/2022/09/13/greg-abbott-student-loan-joe-biden/,Texas Tribune,MATTHEW CHOI,"SEPT. 13, 2022",Gov. Greg Abbott demands Biden pull his student loan relief plan,335
336,https://www.texastribune.org/2022/09/14/teacher-shortage-photos/,Texas Tribune,LAUREN WITTE,"SEPT. 14, 2022",Photos: What Texas’ educator shortage looks like for one pre-K teacher,336
337,https://www.texastribune.org/2022/09/15/greg-abbott-texas-kamala-harris-migrant-bus/,Texas Tribune,STEPHEN NEUKAM,"SEPT. 15, 2022",Fight over border security escalates after governors send migrants to Kamala Harris’ home and Martha’s Vineyard,337
338,https://www.texastribune.org/2022/09/12/health-care-desert-west-texas/,Texas Tribune,JAYME LOZANO,"SEPT. 12, 2022",“God bless you for being here”: A new West Texas clinic revives health care options in a rural community,338
339,https://www.texastribune.org/2022/09/11/uvalde-shooting-texas-dps-steve-mccraw/,Texas Tribune,SNEHA DEY,"SEPT. 11, 2022",Texas DPS director says he wishes his agency had taken control over the police response to the Uvalde shooting,339
340,https://www.texastribune.org/2022/09/14/uvalde-parents-ted-cruz-gun-control/,Texas Tribune,MATTHEW CHOI,"SEPT. 14, 2022","Parents of Uvalde shooting victim urge Ted Cruz to support gun control, to no avail",340
341,https://www.texastribune.org/2022/09/15/george-floyd-texas-pardon/,Texas Tribune,WILLIAM MELHADO,"SEPT. 15, 2022",Texas board rejects posthumous pardon for George Floyd — after recommending one to Greg Abbott,341
342,https://www.texastribune.org/2022/09/12/texas-a-m-lawsuit-diversity-discrimination/,Texas Tribune,KATE MCGEE,"SEPT. 12, 2022","In lawsuit, UT-Austin professor accuses Texas A&M faculty program of discriminating against white and Asian men",342
